report_date,online_store,upc,retailer_product_code,brand,category,sub_category,product_description,review_date,review_rating,review_title,review_text,is_competitor,manufacturer,market,matched_keywords,time_of_publication,url,review_type,parent_review,manufacturers_response,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,verified_purchase,helpful_review_count,review_hash_id,review_length,sentiment,rating_sentiment_diff,anomaly
1/2/2019,FRESHAMAZON,8.72E+12,B0142CI6FC,Dove Men+Care,Personal Care,Deos,Dove Men+Care Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/1/2019,5,Dove Men’s + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/REVTAVYK1SJMZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0142CI6FC,Organic,Child,,Deos,Male Anti-Perspirant Deodorant,COTC Male Anti-Perspirant Deodorant,,,,COTC Male Anti-Perspirant Deodorant,Core of the Core,TRUE,0,3f129b02-ea76-0323-bd59-235d97a4f83f,202,0.222916667,1.942708333,1
1/3/2019,FRESHAMAZON,5.00E+12,B014DFNNRY,Marmite,Foods,Savoury,Marmite  Spread Yeast Extract 500g,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R1K8CMKRJ8N9LC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFNNRY,Organic,Child,,Savoury,COTC Yeast Extract,COTC Yeast Extract,,,,COTC Yeast Extract,Core of the Core,TRUE,0,d7f3b9aa-e8b3-626d-683b-374e201c8315,175,0.35,1.625,1
1/3/2019,FRESHAMAZON,5.00E+12,B014DFNNRY,Marmite,Foods,Savoury,Marmite  Spread Yeast Extract 500g,1/2/2019,4,Vitamin B12.,Excellent,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/RDKAJKUFQRZZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFNNRY,Organic,Child,,Savoury,COTC Yeast Extract,COTC Yeast Extract,,,,COTC Yeast Extract,Core of the Core,TRUE,0,e58a523d-0155-a366-f107-7ac6817ac3b7,9,1,1,1
1/3/2019,FRESHAMAZON,8.71E+12,B014DFKELC,Knorr,Foods,Savoury,Knorr  Beef Stock Pot 8 x 28g,1/2/2019,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R23R4UB57ML2PI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFKELC,Organic,Parent,,Savoury,Beef Stock/Pots/Cubes/Extract/Liquid/Concentrated,Stock Pots,,,,Stock Pots,Core of the Core,TRUE,0,aaa9bb87-4f99-bb89-65cb-3b400ebb45c0,42,0.333333333,1.666666667,1
1/3/2019,FRESHAMAZON,8.72E+12,B014G37I7E,Cif,Homecare,HHC,Cif Citrus Bathroom Mousse 500ml,1/2/2019,5,Very handy,Does what is says it does,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/RJ16077YDXIB0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014G37I7E,Organic,Parent,,HHC,Bathroom Mousse,Bathroom Mousse,,,,,Core of the Core,FALSE,0,48c71b34-d7fe-5e90-51dd-239e153fb0ae,25,0,2.5,1
1/4/2019,AMAZONPRIMEPANTRY,5.00E+12,B014DFNNRY,Marmite,Foods,Savoury,Marmite  Spread Yeast Extract 500g,1/2/2019,4,Vitamin B12.,Excellent,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/RDKAJKUFQRZZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFNNRY,Organic,Child,,Savoury,Yeast Extract,COTC Yeast Extract,,,,COTC Yeast Extract,Core of the Core,TRUE,0,573f07c3-5ec1-63df-bcaf-47dc8347d799,9,1,1,1
1/4/2019,AMAZONPRIMEPANTRY,5.00E+12,B014DFNNRY,Marmite,Foods,Savoury,Marmite  Spread Yeast Extract 500g,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R1K8CMKRJ8N9LC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFNNRY,Organic,Child,,Savoury,Yeast Extract,COTC Yeast Extract,,,,COTC Yeast Extract,Core of the Core,TRUE,0,3f0c3287-6197-dd68-9669-c9e6eafbf037,175,0.35,1.625,1
1/4/2019,AMAZONPRIMEPANTRY,8.71E+12,B014DFKELC,Knorr,Foods,Savoury,Knorr  Beef Stock Pot 8 x 28g,1/2/2019,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R23R4UB57ML2PI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFKELC,Organic,Parent,,Savoury,Beef Stock/Pots/Cubes/Extract/Liquid/Concentrated,Stock Pots,,,,Stock Pots,Core of the Core,TRUE,0,91df7f82-f0be-e0fb-4726-9ca54ec408d5,42,0.333333333,1.666666667,1
1/6/2019,FRESHAMAZON,8.72E+12,B0151I60Z4,Dove Men+Care,Personal Care,Deodorants & Fragrances,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/5/2019,4,nearly 5 star,Excellent item.Good for men,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R2KBIBIYJOY5TQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0151I60Z4,Organic,Parent,,Deodorants & Fragrances,Male Anti-Perspirant Deodorant,COTC Male Anti-Perspirant Deodorant,,,,COTC Male Anti-Perspirant Deodorant,Core of the Core,FALSE,0,a089640c-9496-a786-4e3e-f8a9df03c4d7,27,1,1,1
1/7/2019,FRESHAMAZON,8.71E+12,B014DFKXKY,Knorr,Foods,Savoury,Knorr  Chicken Stock Pot 8 x 28g,1/6/2019,5,Good,Thank you I’m very happy,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R80XWAE7TJ1HV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFKXKY,Organic,Parent,,Savoury,Chicken Stock/Pots/Cubes/Extract/Liquid/Concentrated,Stock Pots,,,,Stock Pots,Core of the Core,TRUE,0,1aa09e1d-b936-0e8c-e56d-73229c2d10c1,24,1,0,1
