review_text,review_rating,bert_sentiment_label,rating_label
"जैसे-जैसे आप बड़े होते हैं, आपको पता चल जाता है कि आपको क्या पसंद है और आपके शरीर के लिए क्या उपयुक्त है। मुझे सभी डव उत्पाद पसंद हैं। यह आपको एक ताज़गी भरा एहसास देता है और कोई रूसी या शुष्क त्वचा नहीं होती। कोई दुर्गंध नहीं!",5,Positive,Positive
"तीन विशाल मार्माइट जार, जो शायद पूरी ज़िंदगी तक चलेंगे! और क्या चाहिए? ऑर्डर समय पर आया, अच्छी पैकिंग थी। बहुत खुश हूँ।",5,Negative,Positive
उत्कृष्ट,4,Positive,Positive
धीमी पकाने के लिए एक बढ़िया फ्लेवर बूस्टर।,5,Positive,Positive
"जो कहा गया है, वही करता है।",5,Positive,Positive
उत्कृष्ट,4,Positive,Positive
"तीन बड़े मार्माइट जार, जो पूरी ज़िंदगी तक चलेंगे! ऑर्डर समय पर और सुरक्षित रूप से पैक होकर आया। बहुत खुश हूँ।",5,Positive,Positive
धीमी पकाने के लिए एक बेहतरीन फ्लेवर एडिशन।,5,Positive,Positive
"उत्कृष्ट वस्तु, पुरुषों के लिए अच्छी।",4,Positive,Positive
"धन्यवाद, मैं बहुत खुश हूँ।",5,Negative,Positive
"धन्यवाद, मैं बहुत खुश हूँ।",5,Negative,Positive
खूबसूरत।,5,Negative,Positive
हमेशा खरीदता हूँ। बड़े बॉटल्स।,5,Positive,Positive
"जो कहा गया है, वही करता है।",5,Positive,Positive
मैं इस उत्पाद को अपनी बहुत ज्यादा क्षतिग्रस्त बालों पर इस्तेमाल करता हूँ और यह हर बार कमाल करता है।,5,Negative,Positive
बेहतरीन क़ीमत।,5,Positive,Positive
"हमेशा इस उत्पाद का उपयोग करता हूँ, और यह हमेशा अच्छा काम करता है।",5,Positive,Positive
"यह तस्वीर में दिखाए गए उत्पाद जैसा नहीं है, लेकिन इसे 5 स्टार मिलते हैं क्योंकि यह वही उत्पाद है जिसका मैं उपयोग करता हूँ और यह शुष्क त्वचा के लिए शानदार है।",5,Positive,Positive
"वर्णन के अनुसार उत्पाद, बेहतरीन गुणवत्ता, तेज़ डिलीवरी।",5,Positive,Positive
अच्छा बॉडी वॉश लेकिन बहुत अधिक सुगंध नहीं है।,5,Neutral,Positive
बहुत अच्छा।,5,Positive,Positive
बहुत अच्छा।,5,Positive,Positive
लायक़ है!,5,Positive,Positive
मैंने इसे सालों पहले एक दोस्त के घर पर आज़माया था। अब 3 महीने से उपयोग कर रहा हूँ और यही एकमात्र उत्पाद है जो मैं खरीदता हूँ।,5,Positive,Positive
बहुत अच्छा।,5,Positive,Positive
"सबसे अच्छा एंटीपर्सपिरेंट नहीं है, जब तक कि आपको अपने बगल में बर्फ़ीली परत पसंद न हो।",3,Negative,Neutral
मुझे यह उत्पाद पसंद है।,5,Positive,Positive
"अगर मैं इसे खाते हुए मर गया, तो मैं बहुत खुश होकर मरूँगा। मुझे ये बहुत पसंद हैं।",5,Positive,Positive
"मुझे इस बॉडी लोशन की रेंज बहुत पसंद है क्योंकि यह चिपचिपा नहीं है, लगाने में आसान है और जल्दी से त्वचा में समा जाता है। यह त्वचा को मुलायम और मॉइश्चराइज़ करता है। गंध हल्की और ताज़ा है। बहुत अच्छा उत्पाद!",5,Positive,Positive
