review_text,review_rating,bert_sentiment_label,rating_label
"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",5,Positive,Positive
"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",5,Positive,Positive
Excellent,4,Positive,Positive
A great flavour top - up for slow cooking.,5,Positive,Positive
Does what is says it does,5,Positive,Positive
Excellent,4,Positive,Positive
"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",5,Positive,Positive
A great flavour top - up for slow cooking.,5,Positive,Positive
Excellent item.Good for men,4,Positive,Positive
Thank you I’m very happy,5,Positive,Positive
Thank you I’m very happy,5,Positive,Positive
Beautiful,5,Positive,Positive
Always buy. Big bottles,5,Positive,Positive
Does what is says it does,5,Positive,Positive
Always use this product on my heavily mistreated hair and it works wonders time after time,5,Positive,Positive
Great value,5,Positive,Positive
Always use this product on my heavily mistreated hair and it works wonders time after time,5,Positive,Positive
"It’s not the one in the picture, but gets 5 stars because it’s the regular one I use and it’s awesome for people with dry skin.",5,Positive,Positive
"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",5,Positive,Positive
Good body wash but not a very strong smell,5,Neutral,Positive
Great,5,Positive,Positive
Great,5,Positive,Positive
Worth it!,5,Positive,Positive
I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,5,Positive,Positive
Great,5,Positive,Positive
Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,3,Negative,Neutral
Love this product,5,Positive,Positive
If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,5,Positive,Positive
"I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",5,Positive,Positive
Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely,5,Positive,Positive
Very happy with it,5,Positive,Positive
I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,5,Positive,Positive
Happy with item,5,Positive,Positive
"I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",5,Positive,Positive
Smells nice,5,Positive,Positive
A great deal on treseme shampoo giving a long lasting supply so you don’t need to keep buying more and very good price.,5,Positive,Positive
Happy with item,5,Positive,Positive
"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",5,Positive,Positive
Great value,5,Positive,Positive
Love this comfort,5,Positive,Positive
Horrible.,1,Negative,Negative
a great buy,5,Positive,Positive
"Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",3,Neutral,Neutral
Washes sharks well,5,Positive,Positive
excellent,5,Positive,Positive
Thank you I’m very happy,5,Positive,Positive
Good pleasant smelling deoderant boys will love it at christmas.,5,Positive,Positive
delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,4,Positive,Positive
"Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",5,Positive,Positive
not sure why the big jar costs more than double this size though!,5,Neutral,Positive
"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",5,Positive,Positive
"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",5,Positive,Positive
"Great buy, smells gorgeous",5,Positive,Positive
"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",5,Positive,Positive
"Great buy, smells gorgeous",5,Positive,Positive
"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",5,Positive,Positive
Texture liked.used for bath/shower,5,Positive,Positive
shared with family,5,Positive,Positive
We love it and even better when it’s on a deal,5,Positive,Positive
Great product!,5,Positive,Positive
"Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, a language I cannot read. Even has a less distinct fragrance.",4,Negative,Positive
Good pleasant smelling deoderant boys will love it at christmas.,5,Positive,Positive
"Good price and nice smell, not overpowering. Doesn’t leave white powdery mess like some anti perspirents do. Happy.",4,Positive,Positive
A great deal on treseme shampoo giving a long lasting supply so you don’t need to keep buying more and very good price.,5,Positive,Positive
delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,4,Positive,Positive
"Good wipes, good buy",5,Positive,Positive
"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",5,Positive,Positive
a great buy,5,Positive,Positive
Nice fragrance and it seems to last on the clothes.,5,Positive,Positive
Nice fragrance and it seems to last on the clothes.,5,Positive,Positive
Nice fragrance and it seems to last on the clothes.,5,Positive,Positive
"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",5,Positive,Positive
Excellent,4,Positive,Positive
"I've been Using tresemme products for years. Previously the regular heat protection but after being recommended this one for colour treated hair gave it a go and Ive not looked back! Leaves my hair with a lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do a Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep the damage away",5,Positive,Positive
So much cheaper than in Boots. Great value!!!,5,Positive,Positive
"I like the blue version but this is such an overpowering, awful smell it had to be binned.",2,Negative,Negative
"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",5,Positive,Positive
Excellent value and you don't hav to carry it,5,Positive,Positive
Washing,5,Positive,Positive
Excellent value and you don't hav to carry it,5,Positive,Positive
